state_key,state,no,constituency_name,reserved,y2021_winner_name,y2016_winner_name,y2026_winner_name,status,updated_at,y2021_winner_party,y2016_winner_party,y2026_winner_party
KERALA,Kerala,72,Chalakudy,GEN,T. J. Saneesh Kumar Joseph,B. D. Devassy,,,2026-04-06T06:49:21Z,INC,CPI(M),
KERALA,Kerala,73,Kodungallur,GEN,V. R. Sunil Kumar,V. R. Sunil Kumar,,,2026-04-06T06:49:21Z,CPI,CPI,
KERALA,Kerala,74,Perumbavoor,GEN,Eldhose Kunnappilly,Eldhose Kunnappilly,,,2026-04-06T06:49:21Z,INC,INC,
KERALA,Kerala,75,Angamaly,GEN,Roji M. John,Roji M. John,,,2026-04-06T06:49:21Z,INC,INC,
KERALA,Kerala,76,Aluva,GEN,Anwar Sadath,Anwar Sadath,,,2026-04-06T06:49:21Z,INC,INC,
KERALA,Kerala,77,Kalamassery,GEN,P. Rajeev,V. K. Ebrahim Kunju,,,2026-04-06T06:49:21Z,CPI(M),IUML,
KERALA,Kerala,78,Paravur,GEN,V. D. Satheesan,V. D. Satheesan,,,2026-04-06T06:49:21Z,INC,INC,
KERALA,Kerala,79,Vypin,GEN,K. N. Unnikrishnan,S. Sharma,,,2026-04-06T06:49:21Z,CPI(M),CPI(M),
KERALA,Kerala,80,Kochi,GEN,K. J. Maxi,K. J. Maxi,,,2026-04-06T06:49:21Z,CPI(M),CPI(M),
KERALA,Kerala,81,Thrippunithura,GEN,K. Babu,M. Swaraj,,,2026-04-06T06:49:21Z,INC,CPI(M),
KERALA,Kerala,82,Ernakulam,GEN,T. J. Vinod,Hibi Eden,,,2026-04-06T06:49:21Z,INC,INC,
KERALA,Kerala,83,Thrikkakara,GEN,P. T. Thomas,P. T. Thomas,,,2026-04-06T06:49:21Z,INC,INC,
KERALA,Kerala,84,Kunnathunad,SC,P. V. Sreenijin,V. P. Sajeendran,,,2026-04-06T06:49:21Z,CPI(M),INC,
KERALA,Kerala,85,Piravom,GEN,Anoop Jacob,Anoop Jacob,,,2026-04-06T06:49:21Z,KC(J),Kerala Congress (Jacob),
KERALA,Kerala,86,Muvattupuzha,GEN,Mathew Kuzhalnadan,Eldho Abraham,,,2026-04-06T06:49:21Z,INC,CPI,
KERALA,Kerala,87,Kothamangalam,GEN,Antony John,Antony John,,,2026-04-06T06:49:21Z,CPI(M),CPI(M),
KERALA,Kerala,88,Devikulam,SC,A. Raja,S. Rajendran,,,2026-04-06T06:49:21Z,CPI(M),CPI(M),
KERALA,Kerala,89,Udumbanchola,GEN,M. M. Mani,M. M. Mani,,,2026-04-06T06:49:21Z,CPI(M),CPI(M),
