"state_key","state","no","y2026_winner_name","status","updated_at","y2026_winner_party"
"KERALA","Kerala","34","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","35","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","36","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","37","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","38","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","39","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","40","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","41","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","42","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","43","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","44","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","45","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","46","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","47","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","48","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","49","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","50","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","51","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","52","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","53","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","54","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","55","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","56","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","57","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","58","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","59","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","60","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","61","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","62","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","63","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","64","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","65","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","66","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","67","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","68","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","69","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","70","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","71","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","72","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","73","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","74","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","75","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","76","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","77","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","78","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","79","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","80","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","81","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","82","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","83","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","84","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","85","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","86","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","87","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","88","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","89","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","90","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","91","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","92","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","93","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","94","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","95","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","96","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","97","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","98","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","99","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","100","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","101","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","102","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","103","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","104","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","105","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","106","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","107","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","108","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","109","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","110","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","111","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","112","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","113","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","114","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","115","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","116","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","117","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","118","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","119","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","120","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","121","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","122","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","123","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","124","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","125","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","126","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","127","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","128","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","129","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","130","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","131","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","132","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","133","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","134","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","135","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","136","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","137","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","138","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","139","NA","","2026-04-06T06:49:21Z","NA"
"KERALA","Kerala","140","NA","","2026-04-06T06:49:21Z","NA"
"PUDUCHERRY","Puducherry","1","NA","","2026-04-06T06:49:21Z","NA"
"PUDUCHERRY","Puducherry","2","NA","","2026-04-06T06:49:21Z","NA"
"PUDUCHERRY","Puducherry","3","NA","","2026-04-06T06:49:21Z","NA"
"PUDUCHERRY","Puducherry","4","NA","","2026-04-06T06:49:21Z","NA"
"PUDUCHERRY","Puducherry","5","NA","","2026-04-06T06:49:21Z","NA"
"PUDUCHERRY","Puducherry","6","NA","","2026-04-06T06:49:21Z","NA"
