state_key,state,no,constituency_name,reserved,y2021_winner_name,y2021_winner_party,y2016_winner_name,y2016_winner_party
ASSAM,Assam,114,Jonai (ST),ST,Bhubon Pegu,BJP,Bhubon Pegu,IND
ASSAM,Assam,115,Moran,,Chakradhar Gogoi,BJP,Chakradhar Gogoi,BJP
ASSAM,Assam,116,Dibrugarh,,Prasanta Phukan,BJP,Prasanta Phukan,BJP
ASSAM,Assam,117,Lahowal,,Binod Hazarika,BJP,Rituparna Baruah,BJP
ASSAM,Assam,118,Duliajan,,Terash Gowalla,BJP,Terash Gowalla,BJP
ASSAM,Assam,119,Tingkhong,,Bimal Borah,BJP,Bimal Bora,BJP
ASSAM,Assam,120,Naharkatia,,Taranga Gogoi,BJP,Naren Sonowal,AGP
ASSAM,Assam,121,Chabua,,Ponakan Baruah,AGP,Binod Hazarika,BJP
ASSAM,Assam,122,Tinsukia,,Sanjoy Kishan,BJP,Sanjoy Kishan,BJP
ASSAM,Assam,123,Digboi,,Suren Phukan,BJP,Suren Phukan,BJP
ASSAM,Assam,124,Margherita,,Bhaskar Sharma,BJP,Bhaskar Sharma,BJP
ASSAM,Assam,125,Doomdooma,,Rupesh Gowala,BJP,Durga Bhumij,INC
ASSAM,Assam,126,Sadiya,,Bolin Chetia,BJP,Bolin Chetia,BJP
