state_key,state,no,constituency_name,reserved,y2021_winner_name,y2016_winner_name,y2021_winner_party,y2016_winner_party
TAMIL_NADU,Tamil Nadu,87,Sankari,GEN,S. Sundararajan,Raja.S,AIADMK,AIADMK
TAMIL_NADU,Tamil Nadu,88,Salem (West),GEN,Arul Ramadas,Venkatachalam.G,PMK,AIADMK
TAMIL_NADU,Tamil Nadu,89,Salem (North),GEN,R. Rajendran,Rajendran.R,DMK,DMK
TAMIL_NADU,Tamil Nadu,90,Salem (South),GEN,E. Balasubramanian,Sakthivel A B,AIADMK,AIADMK
TAMIL_NADU,Tamil Nadu,91,Veerapandi,GEN,M. Rajamuthu,Manonmani.P,AIADMK,AIADMK
TAMIL_NADU,Tamil Nadu,92,Rasipuram (SC),SC,M. Mathiventhan,Saroja V. Dr,DMK,AIADMK
TAMIL_NADU,Tamil Nadu,93,Senthamangalam (ST),ST,K. Ponnusamy,Chandrasekaran C,DMK,AIADMK
TAMIL_NADU,Tamil Nadu,94,Namakkal,GEN,P. Ramalingam,K. P. P. Baskar,DMK,AIADMK
TAMIL_NADU,Tamil Nadu,95,Paramathi-Velur,GEN,S. Sekar,Moorthiy K S,AIADMK,DMK
TAMIL_NADU,Tamil Nadu,96,Tiruchengodu,GEN,E. R. Eswaran,Saraswathi Pon,KMDK,AIADMK
TAMIL_NADU,Tamil Nadu,97,Kumarapalayam,GEN,P. Thangamani,Thangamani P,AIADMK,AIADMK
TAMIL_NADU,Tamil Nadu,98,Erode (East),GEN,Thirumagan Evera,Thennarasu K S,INC,AIADMK
TAMIL_NADU,Tamil Nadu,99,Erode (West),GEN,S. Muthusamy,Ramalingam K.V.,DMK,AIADMK
TAMIL_NADU,Tamil Nadu,100,Modakkurichi,GEN,Dr. C.K. Saraswathi,Sivasubramani . V.P.,BJP,AIADMK
TAMIL_NADU,Tamil Nadu,101,Dharapuram (SC),SC,N. Kayalvizhi,Kalimuthu. V.S,DMK,INC
TAMIL_NADU,Tamil Nadu,102,Kangayam,GEN,M. P. Saminathan,Thaniyarasu U,DMK,AIADMK
TAMIL_NADU,Tamil Nadu,103,Perundurai,GEN,S. Jayakumar,Venkatachalam.N.D,AIADMK,AIADMK
TAMIL_NADU,Tamil Nadu,104,Bhavani,GEN,K. C. Karuppannan,Karuppanan K C,AIADMK,AIADMK
TAMIL_NADU,Tamil Nadu,105,Anthiyur,GEN,A. G. Venkatachalam,E. M. R. Raja,DMK,AIADMK
TAMIL_NADU,Tamil Nadu,106,Gobichettipalayam,GEN,K. A. Sengottaiyan,Sengottaiyan K.A,AIADMK,AIADMK
TAMIL_NADU,Tamil Nadu,107,Bhavanisagar,SC,A. Bannari,Eswaran.S,AIADMK,AIADMK
TAMIL_NADU,Tamil Nadu,108,Udhagamandalam,GEN,R. Ganesh,Ganesh. R.,INC,INC
TAMIL_NADU,Tamil Nadu,109,Gudalur (SC),SC,Pon. Jayaseelan,Thiravidamani.M.,AIADMK,DMK
TAMIL_NADU,Tamil Nadu,110,Coonoor,GEN,K. Ramachandran,Ramu. A.,DMK,AIADMK
TAMIL_NADU,Tamil Nadu,111,Mettupalayam,GEN,A. K. Selvaraj,Chinnaraj.O.K,AIADMK,AIADMK
TAMIL_NADU,Tamil Nadu,112,Avanashi (SC),SC,P. Dhanapal,Dhanapal P,AIADMK,AIADMK
TAMIL_NADU,Tamil Nadu,113,Tiruppur (North),GEN,K. N. Vijayakumar,Vijayakumar Kn,AIADMK,AIADMK
TAMIL_NADU,Tamil Nadu,114,Tiruppur (South),GEN,K. Selvaraj,Gunasekaran S,DMK,AIADMK
TAMIL_NADU,Tamil Nadu,115,Palladam,GEN,M. S. M. Anandan,Natarajan. A,AIADMK,AIADMK
TAMIL_NADU,Tamil Nadu,116,Sulur,GEN,V. P. Kandasamy,Kanagaraj. R.,AIADMK,AIADMK
TAMIL_NADU,Tamil Nadu,117,Kavundampalayam,GEN,G. Arunkumar,V. C. Arukutty,AIADMK,AIADMK
